[5/14/2026, 6:33:15 PM] SUCCESS - Record 1/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/14/2026, 6:34:36 PM] SUCCESS - Record 2/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 3 – 4
[5/14/2026, 6:35:44 PM] SUCCESS - Record 3/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 4 – 5
[5/14/2026, 6:40:36 PM] SUCCESS - Record 1/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/14/2026, 6:41:44 PM] SUCCESS - Record 2/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 3 – 4
[5/14/2026, 6:42:51 PM] SUCCESS - Record 3/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 4 – 5
[5/14/2026, 6:43:59 PM] SUCCESS - Record 4/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 5 – 6
[5/14/2026, 6:45:06 PM] SUCCESS - Record 5/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 6 – 7
[5/14/2026, 6:46:14 PM] SUCCESS - Record 6/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 2 – 3
[5/14/2026, 6:47:22 PM] SUCCESS - Record 7/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 3 – 4
[5/14/2026, 6:48:29 PM] SUCCESS - Record 8/200: Product: Shared Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 4 – 5
