[5/15/2026, 12:39:49 PM] SUCCESS - Record 1/200: Product: Half Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 12:40:57 PM] SUCCESS - Record 2/200: Product: Half Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 12:42:04 PM] SUCCESS - Record 3/200: Product: Half Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 12:43:11 PM] SUCCESS - Record 4/200: Product: Half Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 12:44:19 PM] SUCCESS - Record 5/200: Product: Half Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 12:46:30 PM] SUCCESS - Record 1/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 12:47:38 PM] SUCCESS - Record 2/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 12:48:45 PM] SUCCESS - Record 3/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 12:49:53 PM] SUCCESS - Record 4/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 12:51:00 PM] SUCCESS - Record 5/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 12:52:08 PM] SUCCESS - Record 6/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 12:53:15 PM] SUCCESS - Record 7/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 12:54:23 PM] SUCCESS - Record 8/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 12:55:30 PM] SUCCESS - Record 9/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 12:56:38 PM] SUCCESS - Record 10/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 12:57:45 PM] SUCCESS - Record 11/200: Product: Hyperscale Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 2 – 3
