[5/15/2026, 12:39:03 PM] SUCCESS - Record 6/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 12:40:11 PM] SUCCESS - Record 7/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 12:41:18 PM] SUCCESS - Record 8/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 12:42:26 PM] SUCCESS - Record 9/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 12:43:33 PM] SUCCESS - Record 10/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 12:44:40 PM] SUCCESS - Record 11/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 12:45:48 PM] SUCCESS - Record 12/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 12:46:55 PM] SUCCESS - Record 13/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 12:48:03 PM] SUCCESS - Record 14/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 12:49:10 PM] SUCCESS - Record 15/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 12:50:18 PM] SUCCESS - Record 16/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 12:51:25 PM] SUCCESS - Record 17/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 12:52:33 PM] SUCCESS - Record 18/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 12:53:40 PM] SUCCESS - Record 19/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 5 – 6
[5/15/2026, 12:54:48 PM] SUCCESS - Record 20/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 6 – 7
[5/15/2026, 12:55:56 PM] SUCCESS - Record 21/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 2 – 3
[5/15/2026, 12:57:03 PM] SUCCESS - Record 22/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 3 – 4
[5/15/2026, 12:58:11 PM] SUCCESS - Record 23/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 4 – 5
[5/15/2026, 12:59:18 PM] SUCCESS - Record 24/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 5 – 6
[5/15/2026, 1:00:26 PM] SUCCESS - Record 25/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 7 kVA, CabE: 6 – 7
[5/15/2026, 1:01:33 PM] SUCCESS - Record 26/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 1:02:41 PM] SUCCESS - Record 27/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 1:03:48 PM] SUCCESS - Record 28/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 1:04:56 PM] SUCCESS - Record 29/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 1:06:03 PM] SUCCESS - Record 30/200: Product: Quarter Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 50, DrawCap: 3 kVA, CabE: 6 – 7
