[5/15/2026, 12:39:08 PM] SUCCESS - Record 5/200: Product: Custom Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 12:41:29 PM] SUCCESS - Record 1/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 2 – 3
[5/15/2026, 12:42:37 PM] SUCCESS - Record 2/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 3 – 4
[5/15/2026, 12:43:44 PM] SUCCESS - Record 3/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 4 – 5
[5/15/2026, 12:44:51 PM] SUCCESS - Record 4/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 5 – 6
[5/15/2026, 12:45:59 PM] SUCCESS - Record 5/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 3 kVA, CabE: 6 – 7
[5/15/2026, 12:47:07 PM] SUCCESS - Record 6/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 2 – 3
[5/15/2026, 12:48:14 PM] SUCCESS - Record 7/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 3 – 4
[5/15/2026, 12:49:21 PM] SUCCESS - Record 8/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 4 – 5
[5/15/2026, 12:50:29 PM] SUCCESS - Record 9/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 5 – 6
[5/15/2026, 12:51:36 PM] SUCCESS - Record 10/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 4 kVA, CabE: 6 – 7
[5/15/2026, 12:52:44 PM] SUCCESS - Record 11/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 2 – 3
[5/15/2026, 12:53:51 PM] SUCCESS - Record 12/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 3 – 4
[5/15/2026, 12:54:59 PM] SUCCESS - Record 13/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 4 – 5
[5/15/2026, 12:56:06 PM] SUCCESS - Record 14/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 5 – 6
[5/15/2026, 12:57:14 PM] SUCCESS - Record 15/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 5 kVA, CabE: 6 – 7
[5/15/2026, 12:58:22 PM] SUCCESS - Record 16/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 2 – 3
[5/15/2026, 12:59:29 PM] SUCCESS - Record 17/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 3 – 4
[5/15/2026, 1:00:37 PM] SUCCESS - Record 18/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 4 – 5
[5/15/2026, 1:01:44 PM] SUCCESS - Record 19/200: Product: Enterprise Cage, PSM: Term Based - Monthly, Type: Percentage, Value: 10, Cabinet: 10, DrawCap: 6 kVA, CabE: 5 – 6
